1423774192 ------------------------------------------------------------
1423774192 Server listening on TCP port 5001
1423774192 TCP window size: 85.3 KByte (default)
1423774192 ------------------------------------------------------------
1423774193 ------------------------------------------------------------
1423774193 Client connecting to 192.168.1.14, TCP port 5001
1423774193 TCP window size: 91.9 KByte (default)
1423774193 ------------------------------------------------------------
1423774228 [  5] 34.0-35.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774229 [  5] 35.0-36.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774229 [  4] 35.0-36.0 sec  7.36 MBytes  61.7 Mbits/sec
1423774230 [  5] 36.0-37.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774230 [  4] 36.0-37.0 sec  7.00 MBytes  58.7 Mbits/sec
1423774231 [  4] 37.0-38.0 sec  7.00 MBytes  58.7 Mbits/sec
1423774231 [  5] 37.0-38.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774232 [  4] 38.0-39.0 sec  7.82 MBytes  65.6 Mbits/sec
1423774232 [  5] 38.0-39.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774233 [  4] 39.0-40.0 sec  8.20 MBytes  68.8 Mbits/sec
1423774233 [  5] 39.0-40.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774234 [  4] 40.0-41.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774234 [  5] 40.0-41.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774235 [  4] 41.0-42.0 sec  7.16 MBytes  60.0 Mbits/sec
1423774235 [  5] 41.0-42.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774236 [  5] 42.0-43.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774236 [  4] 42.0-43.0 sec  7.07 MBytes  59.3 Mbits/sec
1423774237 [  5] 43.0-44.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774237 [  4] 43.0-44.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774238 [  5] 44.0-45.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774238 [  4] 44.0-45.0 sec  9.03 MBytes  75.8 Mbits/sec
1423774239 [  4] 45.0-46.0 sec  7.47 MBytes  62.6 Mbits/sec
1423774239 [  5] 45.0-46.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774240 [  4] 46.0-47.0 sec  7.12 MBytes  59.8 Mbits/sec
1423774240 [  5] 46.0-47.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774241 [  5] 47.0-48.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774241 [  4] 47.0-48.0 sec  6.75 MBytes  56.6 Mbits/sec
1423774242 [  5] 48.0-49.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774242 [  4] 48.0-49.0 sec  6.89 MBytes  57.8 Mbits/sec
1423774243 [  4] 49.0-50.0 sec  7.42 MBytes  62.3 Mbits/sec
1423774243 [  5] 49.0-50.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774244 [  4] 50.0-51.0 sec  8.31 MBytes  69.7 Mbits/sec
1423774244 [  5] 50.0-51.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774245 [  4] 51.0-52.0 sec  7.87 MBytes  66.0 Mbits/sec
1423774245 [  5] 51.0-52.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774246 [  5] 52.0-53.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774246 [  4] 52.0-53.0 sec  7.39 MBytes  62.0 Mbits/sec
1423774247 [  4] 53.0-54.0 sec  7.21 MBytes  60.5 Mbits/sec
1423774247 [  5] 53.0-54.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774248 [  4] 54.0-55.0 sec  7.89 MBytes  66.2 Mbits/sec
1423774248 [  5] 54.0-55.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774249 [  4] 55.0-56.0 sec  7.27 MBytes  61.0 Mbits/sec
1423774249 [  5] 55.0-56.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774250 [  4] 56.0-57.0 sec  7.34 MBytes  61.6 Mbits/sec
1423774250 [  5] 56.0-57.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774251 [  4] 57.0-58.0 sec  8.06 MBytes  67.6 Mbits/sec
1423774251 [  5] 57.0-58.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774252 [  4] 58.0-59.0 sec  7.73 MBytes  64.9 Mbits/sec
1423774252 [  5] 58.0-59.0 sec  7.62 MBytes  64.0 Mbits/sec
1423774253 [  4] 59.0-60.0 sec  7.41 MBytes  62.2 Mbits/sec
1423774253 [  5] 59.0-60.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774254 [  5] 60.0-61.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774254 [  4] 60.0-61.0 sec  6.84 MBytes  57.4 Mbits/sec
1423774255 [  5] 61.0-62.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774255 [  4] 61.0-62.0 sec  7.75 MBytes  65.0 Mbits/sec
1423774256 [  4] 62.0-63.0 sec  7.37 MBytes  61.8 Mbits/sec
1423774256 [  5] 62.0-63.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774257 [  4] 63.0-64.0 sec  8.35 MBytes  70.1 Mbits/sec
1423774257 [  5] 63.0-64.0 sec  7.50 MBytes  62.9 Mbits/sec
1423774258 [  5] 64.0-65.0 sec  7.25 MBytes  60.8 Mbits/sec
1423774258 [  4] 64.0-65.0 sec  7.28 MBytes  61.0 Mbits/sec
1423774259 [  5] 65.0-66.0 sec  7.38 MBytes  61.9 Mbits/sec
1423774259 [  4] 65.0-66.0 sec  7.49 MBytes  62.8 Mbits/sec
1423774260 [  5] 66.0-67.0 sec  7.38 MBytes  61.9 Mbits/sec
